payment_id,order_id,payment_method,payment_date,amount
387,387,Bank Transfer,2021-12-11,147830
389,389,Cash on Delivery,2023-05-24,67335
390,390,Cash on Delivery,2021-03-26,126280
392,392,Cash on Delivery,2022-05-20,45255
393,393,Digital Wallet,2021-02-22,18444
394,394,Cash on Delivery,2021-07-01,92428
397,397,Cash on Delivery,2021-02-11,133305
398,398,Cash on Delivery,2021-12-05,96070
399,399,Bank Transfer,2022-08-20,108940
400,400,Bank Transfer,2022-09-22,64040
401,401,Cash on Delivery,2023-03-20,16031
406,406,Cash on Delivery,2021-05-22,60808
412,412,Digital Wallet,2022-11-12,69371
416,416,Cash on Delivery,2022-03-05,131307
419,419,Cash on Delivery,2022-12-22,126029
420,420,Cash on Delivery,2021-03-23,66208
421,421,Digital Wallet,2023-06-16,121093
425,425,Bank Transfer,2022-08-17,8070
429,429,Bank Transfer,2022-12-28,103095
430,430,Cash on Delivery,2022-11-03,49289
432,432,Bank Transfer,2021-12-20,13472
436,436,Cash on Delivery,2022-04-06,93865
440,440,Bank Transfer,2021-01-08,29165
441,441,Cash on Delivery,2022-03-02,135707
443,443,Digital Wallet,2021-02-13,14173
445,445,Digital Wallet,2021-10-12,117440
446,446,Bank Transfer,2022-03-04,50588
449,449,Cash on Delivery,2021-12-12,6004
451,451,Bank Transfer,2021-08-05,4643
465,465,Cash on Delivery,2022-10-30,74123
468,468,Cash on Delivery,2022-06-28,112378
470,470,Bank Transfer,2022-02-11,54349
471,471,Digital Wallet,2021-02-18,64817
477,477,Cash on Delivery,2021-10-22,104907
482,482,Cash on Delivery,2022-05-07,135740
487,487,Digital Wallet,2023-01-17,121145
490,490,Digital Wallet,2022-10-17,3249
491,491,Digital Wallet,2021-06-09,63239
492,492,Digital Wallet,2021-09-03,27335
493,493,Bank Transfer,2021-07-03,44801
494,494,Cash on Delivery,2021-12-12,144005
496,496,Cash on Delivery,2022-06-08,83681
498,498,Bank Transfer,2023-03-16,53790
499,499,Bank Transfer,2023-03-19,73559
502,502,Cash on Delivery,2022-09-28,46131
503,503,Digital Wallet,2021-06-16,58266
509,509,Cash on Delivery,2021-08-06,7431
512,512,Digital Wallet,2023-02-02,51309
515,515,Bank Transfer,2021-07-23,25100
516,516,Digital Wallet,2022-04-09,33217
521,521,Bank Transfer,2021-05-18,2299
523,523,Bank Transfer,2022-08-31,73352
526,526,Bank Transfer,2022-10-02,113517
529,529,Cash on Delivery,2021-02-09,124483
536,536,Digital Wallet,2022-02-21,11344
538,538,Bank Transfer,2022-12-30,44629
540,540,Digital Wallet,2023-05-23,12867
541,541,Cash on Delivery,2021-04-27,46290
543,543,Cash on Delivery,2021-05-07,1870
545,545,Cash on Delivery,2021-08-26,89825
547,547,Bank Transfer,2023-05-30,8419
553,553,Bank Transfer,2023-01-29,139604
554,554,Bank Transfer,2021-03-12,45208
555,555,Digital Wallet,2021-01-05,43336
558,558,Digital Wallet,2021-09-28,107240
559,559,Digital Wallet,2022-07-29,109460
560,560,Bank Transfer,2021-12-09,9725
562,562,Digital Wallet,2022-10-08,38507
572,572,Bank Transfer,2021-12-19,94343
575,575,Cash on Delivery,2022-09-24,53270
577,577,Bank Transfer,2022-05-25,142663
580,580,Bank Transfer,2022-08-14,97187
583,583,Cash on Delivery,2021-08-25,114425
584,584,Digital Wallet,2023-01-19,19068
585,585,Digital Wallet,2021-05-17,102632
587,587,Digital Wallet,2022-10-30,55767
589,589,Digital Wallet,2022-02-28,124974
595,595,Cash on Delivery,2022-11-11,136108
599,599,Cash on Delivery,2022-03-24,96038
601,601,Cash on Delivery,2021-06-12,28254
603,603,Digital Wallet,2021-10-24,18023
606,606,Bank Transfer,2022-03-13,8700
610,610,Bank Transfer,2022-04-06,68382
612,612,Bank Transfer,2021-10-04,121773
614,614,Cash on Delivery,2021-01-18,135293
615,615,Bank Transfer,2022-01-29,60582
621,621,Cash on Delivery,2021-01-21,61497
622,622,Bank Transfer,2021-04-20,27601
623,623,Cash on Delivery,2021-09-16,28216
627,627,Cash on Delivery,2021-01-04,44416
631,631,Digital Wallet,2021-07-11,68855
640,640,Digital Wallet,2022-04-28,9615
643,643,Bank Transfer,2022-12-08,82910
644,644,Digital Wallet,2022-08-02,15407
645,645,Bank Transfer,2022-02-25,138549
647,647,Digital Wallet,2023-01-27,103754
649,649,Digital Wallet,2023-01-06,10809
650,650,Digital Wallet,2023-01-26,49151
651,651,Cash on Delivery,2022-01-15,98084
652,652,Digital Wallet,2021-09-20,66430
653,653,Digital Wallet,2022-02-23,77376
655,655,Digital Wallet,2021-08-03,122773
660,660,Digital Wallet,2022-07-09,28242
663,663,Bank Transfer,2021-04-13,83615
664,664,Digital Wallet,2022-08-20,77045
665,665,Cash on Delivery,2021-10-12,132786
668,668,Digital Wallet,2022-12-14,107812
669,669,Cash on Delivery,2023-01-27,94377
671,671,Cash on Delivery,2021-07-17,45395
673,673,Bank Transfer,2023-01-21,73884
674,674,Digital Wallet,2023-04-28,23293
678,678,Bank Transfer,2021-02-02,22164
682,682,Bank Transfer,2023-05-04,89953
683,683,Cash on Delivery,2022-01-23,135383
684,684,Cash on Delivery,2022-01-19,47280
686,686,Digital Wallet,2021-04-22,64519
687,687,Bank Transfer,2021-08-05,53114
688,688,Cash on Delivery,2022-03-02,27864
693,693,Digital Wallet,2022-04-09,28454
698,698,Cash on Delivery,2022-09-13,11599
703,703,Bank Transfer,2021-02-25,90964
704,704,Digital Wallet,2023-05-28,139495
708,708,Cash on Delivery,2022-07-06,70631
709,709,Bank Transfer,2021-09-04,23822
711,711,Bank Transfer,2021-03-17,123390
712,712,Digital Wallet,2022-07-20,83945
715,715,Bank Transfer,2022-07-17,62161
717,717,Cash on Delivery,2023-05-21,68945
718,718,Bank Transfer,2023-04-03,43444
719,719,Digital Wallet,2022-06-15,36388
722,722,Cash on Delivery,2022-04-17,88773
724,724,Digital Wallet,2021-02-03,12779
729,729,Cash on Delivery,2021-03-25,114110
730,730,Bank Transfer,2022-05-08,132352
735,735,Bank Transfer,2022-11-20,7624
737,737,Cash on Delivery,2021-09-25,18860
738,738,Digital Wallet,2022-07-13,146143
741,741,Cash on Delivery,2022-06-19,20389
743,743,Bank Transfer,2022-09-29,119526
746,746,Digital Wallet,2021-01-27,10008
747,747,Digital Wallet,2021-02-20,68047
753,753,Bank Transfer,2021-05-06,40964
756,756,Bank Transfer,2022-11-09,44749
757,757,Cash on Delivery,2021-11-14,118830
761,761,Cash on Delivery,2022-02-21,98405
764,764,Bank Transfer,2023-03-17,97501
765,765,Digital Wallet,2021-07-09,33914
780,780,Cash on Delivery,2023-01-14,34888
783,783,Bank Transfer,2021-01-22,33727
786,786,Bank Transfer,2022-03-18,66540
788,788,Bank Transfer,2022-04-19,74492
795,795,Digital Wallet,2021-10-28,25616
796,796,Cash on Delivery,2022-11-16,19146
800,800,Bank Transfer,2022-06-02,142702
801,801,Bank Transfer,2023-01-19,72448
803,803,Bank Transfer,2022-06-16,138333
809,809,Digital Wallet,2021-07-29,126644
814,814,Bank Transfer,2023-04-07,11522
815,815,Bank Transfer,2021-04-03,123830
817,817,Cash on Delivery,2023-01-09,130306
821,821,Cash on Delivery,2022-05-20,5268
823,823,Bank Transfer,2021-08-20,48404
824,824,Cash on Delivery,2023-05-26,93929
830,830,Digital Wallet,2021-01-11,8359
831,831,Cash on Delivery,2023-04-21,54231
832,832,Bank Transfer,2022-08-24,67387
834,834,Bank Transfer,2022-07-17,124345
835,835,Digital Wallet,2022-06-21,89160
844,844,Bank Transfer,2021-03-01,134111
845,845,Digital Wallet,2022-09-11,92335
847,847,Digital Wallet,2021-10-21,105565
848,848,Cash on Delivery,2021-10-27,18248
850,850,Bank Transfer,2021-12-18,11894
854,854,Bank Transfer,2022-06-02,83059
857,857,Cash on Delivery,2021-03-20,8553
867,867,Digital Wallet,2022-03-13,141052
868,868,Cash on Delivery,2021-07-17,3940
871,871,Bank Transfer,2023-04-18,110253
874,874,Bank Transfer,2021-04-13,110899
877,877,Cash on Delivery,2022-07-18,51554
878,878,Bank Transfer,2022-08-09,116375
881,881,Cash on Delivery,2022-09-29,75682
883,883,Cash on Delivery,2023-02-07,85311
886,886,Digital Wallet,2023-03-10,20820
887,887,Bank Transfer,2021-11-02,24829
890,890,Cash on Delivery,2022-02-22,33274
893,893,Bank Transfer,2021-02-24,60427
895,895,Digital Wallet,2022-09-13,115362
897,897,Digital Wallet,2022-12-26,13557
910,910,Digital Wallet,2021-09-12,123687
911,911,Bank Transfer,2022-08-02,36059
914,914,Bank Transfer,2021-06-29,13676
915,915,Cash on Delivery,2021-07-09,51130
916,916,Bank Transfer,2023-03-11,142712
923,923,Cash on Delivery,2023-02-07,57277
928,928,Bank Transfer,2022-06-17,57134
929,929,Digital Wallet,2023-02-15,35538
930,930,Bank Transfer,2023-04-28,143185
941,941,Cash on Delivery,2023-04-30,146696
944,944,Digital Wallet,2023-02-24,103590
946,946,Cash on Delivery,2023-02-08,44096
947,947,Cash on Delivery,2023-05-14,26988
951,951,Cash on Delivery,2022-10-04,138043
952,952,Bank Transfer,2023-05-03,23524
953,953,Bank Transfer,2023-02-10,73555
956,956,Digital Wallet,2022-02-03,12259
958,958,Bank Transfer,2021-07-26,56588
959,959,Cash on Delivery,2022-11-16,108701
960,960,Bank Transfer,2023-04-24,71807
966,966,Bank Transfer,2023-03-04,45957
971,971,Digital Wallet,2021-10-04,34429
977,977,Bank Transfer,2022-09-03,21887
980,980,Digital Wallet,2022-01-29,133342
984,984,Digital Wallet,2021-09-27,102190
985,985,Cash on Delivery,2021-07-23,77112
986,986,Digital Wallet,2021-08-26,46423
991,991,Digital Wallet,2021-07-29,125143
998,998,Cash on Delivery,2022-01-21,67286
1004,1004,Cash on Delivery,2021-02-18,92623
1006,1006,Digital Wallet,2023-04-18,101811
1011,1011,Bank Transfer,2021-04-21,64335
1013,1013,Cash on Delivery,2021-06-24,13935
1014,1014,Digital Wallet,2021-01-15,33756
1016,1016,Digital Wallet,2022-07-04,56298
1017,1017,Cash on Delivery,2022-10-06,35736
1021,1021,Bank Transfer,2022-03-25,90181
1022,1022,Digital Wallet,2023-06-07,149572
1023,1023,Digital Wallet,2021-09-06,101510
1025,1025,Cash on Delivery,2022-02-23,75398
1027,1027,Digital Wallet,2023-01-27,93825
1034,1034,Digital Wallet,2023-05-31,29503
1035,1035,Digital Wallet,2023-02-22,43660
1036,1036,Bank Transfer,2022-07-08,103382
1037,1037,Digital Wallet,2022-11-06,16684
1042,1042,Digital Wallet,2022-04-04,60642
1044,1044,Cash on Delivery,2023-01-21,149453
1045,1045,Cash on Delivery,2022-10-29,2734
1046,1046,Cash on Delivery,2022-08-08,58288
1053,1053,Bank Transfer,2023-06-08,1713
1054,1054,Cash on Delivery,2021-05-10,140262
1055,1055,Bank Transfer,2023-03-29,141055
1063,1063,Bank Transfer,2022-10-25,54410
1073,1073,Bank Transfer,2022-09-21,106548
1078,1078,Cash on Delivery,2023-01-06,87261
1085,1085,Digital Wallet,2022-01-13,81928
1090,1090,Digital Wallet,2021-02-09,59033
1094,1094,Bank Transfer,2021-09-15,69594
1096,1096,Cash on Delivery,2022-02-08,145121
1099,1099,Bank Transfer,2022-10-12,25327
1102,1102,Bank Transfer,2023-06-07,32758
1103,1103,Bank Transfer,2022-08-10,81340
1104,1104,Digital Wallet,2022-02-19,47725
1109,1109,Bank Transfer,2022-08-13,132769
1110,1110,Bank Transfer,2022-08-27,46363
1113,1113,Cash on Delivery,2021-04-15,29676
1118,1118,Cash on Delivery,2021-11-29,129117
1121,1121,Cash on Delivery,2021-01-08,47314
1125,1125,Bank Transfer,2023-05-03,141067
1127,1127,Digital Wallet,2021-02-18,30775
1129,1129,Bank Transfer,2022-08-19,21393
1130,1130,Digital Wallet,2023-03-24,75484
1135,1135,Bank Transfer,2021-07-27,135739
1136,1136,Bank Transfer,2023-01-17,127995
1137,1137,Bank Transfer,2022-09-27,139771
1139,1139,Cash on Delivery,2021-04-10,59758
1142,1142,Bank Transfer,2023-05-17,128186
1143,1143,Cash on Delivery,2021-10-18,48195
1153,1153,Cash on Delivery,2021-06-16,48050
1158,1158,Digital Wallet,2021-11-02,55582
1167,1167,Digital Wallet,2021-12-07,61078
1168,1168,Bank Transfer,2023-05-22,109240
1169,1169,Digital Wallet,2021-02-13,74243
1172,1172,Cash on Delivery,2021-03-16,46054
1173,1173,Bank Transfer,2022-10-21,122938
1175,1175,Bank Transfer,2021-08-02,108424
1177,1177,Digital Wallet,2022-06-19,109631
1179,1179,Cash on Delivery,2022-11-30,129981
1191,1191,Digital Wallet,2023-04-05,19880
1192,1192,Digital Wallet,2023-04-08,140933
1193,1193,Bank Transfer,2021-07-14,22733
1200,1200,Bank Transfer,2021-06-13,20424
1202,1202,Cash on Delivery,2022-06-30,75644
1205,1205,Digital Wallet,2023-03-17,148176
1209,1209,Bank Transfer,2022-05-11,72385
1211,1211,Cash on Delivery,2021-11-30,145860
1215,1215,Digital Wallet,2022-02-06,96914
1216,1216,Cash on Delivery,2023-06-09,139083
1218,1218,Bank Transfer,2021-06-29,60502
1219,1219,Cash on Delivery,2022-12-05,128623
1222,1222,Digital Wallet,2021-07-10,15293
1223,1223,Bank Transfer,2021-07-06,3914
1230,1230,Bank Transfer,2021-05-28,88081
1232,1232,Digital Wallet,2022-12-21,20994
1238,1238,Digital Wallet,2021-08-13,147035
1239,1239,Bank Transfer,2021-10-24,6214
1245,1245,Bank Transfer,2021-01-03,20062
1247,1247,Bank Transfer,2021-06-15,56088
1250,1250,Bank Transfer,2023-01-07,72210
1253,1253,Cash on Delivery,2022-06-16,76340
1254,1254,Bank Transfer,2021-06-02,63125
1257,1257,Bank Transfer,2022-07-16,125724
1258,1258,Cash on Delivery,2021-02-08,61702
1266,1266,Digital Wallet,2021-07-09,78888
1267,1267,Cash on Delivery,2022-02-08,148555
1268,1268,Cash on Delivery,2021-07-26,90046
1269,1269,Bank Transfer,2021-11-06,56124
1270,1270,Bank Transfer,2022-10-23,107580
1273,1273,Digital Wallet,2021-12-22,92918
1275,1275,Cash on Delivery,2023-06-08,93190
1276,1276,Bank Transfer,2023-03-09,69166
1281,1281,Digital Wallet,2021-07-17,80501
1283,1283,Digital Wallet,2022-04-27,125820
1287,1287,Digital Wallet,2022-10-11,48367
1288,1288,Bank Transfer,2021-04-29,112961
1291,1291,Bank Transfer,2021-02-24,42060
1293,1293,Cash on Delivery,2021-04-29,51626
1294,1294,Cash on Delivery,2022-02-17,145865
1295,1295,Bank Transfer,2021-07-05,126873
1297,1297,Bank Transfer,2022-04-03,106390
1303,1303,Cash on Delivery,2021-12-12,38176
1308,1308,Cash on Delivery,2021-04-13,81330
1311,1311,Cash on Delivery,2021-12-12,85186
1314,1314,Digital Wallet,2022-01-20,137912
1319,1319,Cash on Delivery,2023-04-05,14159
1322,1322,Cash on Delivery,2022-05-24,25819
1328,1328,Bank Transfer,2021-08-06,108786
1330,1330,Digital Wallet,2021-01-27,115127
1333,1333,Cash on Delivery,2022-05-06,33260
1339,1339,Cash on Delivery,2021-05-14,17293
1342,1342,Bank Transfer,2023-06-04,39760
1344,1344,Bank Transfer,2021-02-03,65681
1345,1345,Bank Transfer,2021-05-08,58914
1349,1349,Bank Transfer,2022-09-30,21654
1352,1352,Cash on Delivery,2023-05-14,13456
1355,1355,Bank Transfer,2022-03-21,104111
1357,1357,Bank Transfer,2023-02-27,39340
1358,1358,Bank Transfer,2021-05-06,82881
1360,1360,Cash on Delivery,2022-07-22,37273
1362,1362,Bank Transfer,2023-02-21,71210
1365,1365,Bank Transfer,2022-06-14,3904
1366,1366,Bank Transfer,2022-04-04,47148
1367,1367,Bank Transfer,2022-08-30,18312
1369,1369,Bank Transfer,2022-04-20,11609
1370,1370,Cash on Delivery,2022-06-05,8019
1371,1371,Bank Transfer,2022-04-09,18035
1373,1373,Cash on Delivery,2021-12-07,34429
1376,1376,Digital Wallet,2021-11-04,50580
1377,1377,Cash on Delivery,2021-06-29,27615
1378,1378,Cash on Delivery,2021-01-26,13313
1379,1379,Bank Transfer,2022-03-22,67564
1383,1383,Digital Wallet,2021-01-31,44910
1384,1384,Digital Wallet,2022-07-29,3876
1389,1389,Cash on Delivery,2022-03-24,62995
1391,1391,Bank Transfer,2022-06-22,27589
1393,1393,Bank Transfer,2021-02-02,94253
1397,1397,Cash on Delivery,2023-02-13,50820
1402,1402,Cash on Delivery,2022-08-23,95813
1406,1406,Bank Transfer,2022-08-11,7344
1408,1408,Digital Wallet,2021-11-21,63871
1410,1410,Cash on Delivery,2022-05-29,58223
1415,1415,Digital Wallet,2022-10-26,106239
1417,1417,Digital Wallet,2022-12-03,134866
1421,1421,Digital Wallet,2021-06-02,96046
1422,1422,Digital Wallet,2021-10-21,6691
1424,1424,Cash on Delivery,2021-09-12,74502
1426,1426,Cash on Delivery,2021-07-07,114630
1430,1430,Cash on Delivery,2023-04-07,81208
1433,1433,Cash on Delivery,2021-01-27,27132
1436,1436,Cash on Delivery,2021-04-19,64750
1437,1437,Digital Wallet,2021-02-26,66697
1443,1443,Cash on Delivery,2021-05-31,147891
1444,1444,Digital Wallet,2022-04-01,13413
1447,1447,Cash on Delivery,2021-02-01,78046
1449,1449,Bank Transfer,2022-07-02,85959
1450,1450,Cash on Delivery,2023-02-16,36751
1452,1452,Digital Wallet,2023-01-26,111192
1454,1454,Digital Wallet,2022-03-25,126440
1455,1455,Bank Transfer,2021-06-26,71871
1459,1459,Digital Wallet,2023-04-29,58593
1465,1465,Digital Wallet,2023-03-22,101126
1467,1467,Cash on Delivery,2022-06-01,9736
1470,1470,Bank Transfer,2021-10-01,39516
1471,1471,Digital Wallet,2021-12-30,149249
1472,1472,Digital Wallet,2021-09-22,75441
1473,1473,Digital Wallet,2022-03-10,41602
1474,1474,Bank Transfer,2022-03-14,116722
1478,1478,Bank Transfer,2022-07-26,28942
1493,1493,Digital Wallet,2023-02-18,137522
1495,1495,Bank Transfer,2021-05-09,19446
1496,1496,Bank Transfer,2022-08-11,55076
1499,1499,Digital Wallet,2022-09-21,25108
1501,1501,Digital Wallet,2022-05-07,128134
1504,1504,Bank Transfer,2022-10-01,26985
1505,1505,Bank Transfer,2021-11-04,37156
1506,1506,Bank Transfer,2023-04-30,21509
1509,1509,Cash on Delivery,2022-10-18,111424
1511,1511,Bank Transfer,2021-08-27,70807
1513,1513,Digital Wallet,2021-12-16,29326
1520,1520,Digital Wallet,2022-09-24,129294
1522,1522,Cash on Delivery,2023-06-13,19807
1523,1523,Cash on Delivery,2021-10-08,11135
1526,1526,Digital Wallet,2023-02-05,147616
1535,1535,Digital Wallet,2022-06-14,20611
1540,1540,Bank Transfer,2022-09-25,47198
1544,1544,Bank Transfer,2022-12-07,27681
1547,1547,Bank Transfer,2021-04-24,15880
1550,1550,Digital Wallet,2022-01-05,63078
1551,1551,Bank Transfer,2022-12-13,114750
1552,1552,Bank Transfer,2021-04-27,41698
1560,1560,Bank Transfer,2022-09-06,128829
1561,1561,Cash on Delivery,2022-05-13,117380
1563,1563,Digital Wallet,2021-11-05,52163
1565,1565,Digital Wallet,2021-07-03,57405
1571,1571,Cash on Delivery,2021-06-15,125887
1574,1574,Digital Wallet,2022-07-05,37858
1576,1576,Cash on Delivery,2021-08-15,8866
1578,1578,Cash on Delivery,2022-03-12,97754
1581,1581,Bank Transfer,2023-03-14,40746
1586,1586,Digital Wallet,2021-08-23,2611
1588,1588,Cash on Delivery,2021-06-14,72246
1589,1589,Bank Transfer,2021-06-29,113426
1594,1594,Bank Transfer,2022-02-04,100546
1595,1595,Digital Wallet,2021-03-22,63016
1596,1596,Bank Transfer,2022-12-28,91424
1599,1599,Digital Wallet,2021-03-03,51770
1600,1600,Digital Wallet,2021-01-16,110315
1603,1603,Cash on Delivery,2022-07-27,61792
1604,1604,Cash on Delivery,2023-06-15,23153
1606,1606,Digital Wallet,2022-03-31,139015
1607,1607,Cash on Delivery,2022-04-02,76049
1611,1611,Cash on Delivery,2021-06-18,116069
1622,1622,Digital Wallet,2022-12-13,65844
1629,1629,Cash on Delivery,2023-06-10,36386
1630,1630,Bank Transfer,2021-04-25,73681
1635,1635,Cash on Delivery,2023-02-22,58514
1637,1637,Bank Transfer,2022-05-17,67954
1640,1640,Cash on Delivery,2023-04-20,64293
1643,1643,Digital Wallet,2023-04-01,8204
1645,1645,Cash on Delivery,2023-04-27,60719
1648,1648,Cash on Delivery,2023-03-23,111155
1650,1650,Digital Wallet,2023-04-30,107339
1651,1651,Digital Wallet,2022-10-02,24042
1652,1652,Bank Transfer,2023-05-19,33104
1653,1653,Digital Wallet,2021-01-13,40846
1654,1654,Cash on Delivery,2022-06-12,1821
1663,1663,Bank Transfer,2022-12-06,43812
1666,1666,Digital Wallet,2021-04-20,11215
1668,1668,Digital Wallet,2021-05-07,134463
1680,1680,Bank Transfer,2021-02-07,102236
1683,1683,Bank Transfer,2021-10-02,21806
1686,1686,Cash on Delivery,2022-06-18,3212
1687,1687,Bank Transfer,2022-08-05,122282
1689,1689,Cash on Delivery,2022-05-27,47632
1690,1690,Digital Wallet,2023-04-17,35481
1691,1691,Bank Transfer,2021-08-04,12951
1694,1694,Digital Wallet,2021-08-06,53215
1695,1695,Bank Transfer,2021-05-05,110484
1696,1696,Digital Wallet,2021-01-16,119123
1697,1697,Cash on Delivery,2021-06-29,47015
1700,1700,Bank Transfer,2022-01-24,58974
1707,1707,Bank Transfer,2021-10-23,48394
1709,1709,Bank Transfer,2022-10-28,88068
1716,1716,Cash on Delivery,2021-02-05,32899
1717,1717,Cash on Delivery,2023-01-21,109264
1722,1722,Bank Transfer,2021-12-06,56311
1725,1725,Cash on Delivery,2021-03-17,24768
1727,1727,Digital Wallet,2022-12-27,74426
1728,1728,Cash on Delivery,2021-10-16,12050
1740,1740,Cash on Delivery,2023-03-15,128380
1746,1746,Cash on Delivery,2022-01-08,149635
1749,1749,Bank Transfer,2023-05-15,18778
1752,1752,Cash on Delivery,2021-05-10,107209
1756,1756,Digital Wallet,2022-01-25,17360
1759,1759,Bank Transfer,2021-05-23,123638
1761,1761,Bank Transfer,2021-11-18,79790
1763,1763,Digital Wallet,2022-12-25,145577
1765,1765,Cash on Delivery,2022-09-09,123856
1769,1769,Digital Wallet,2022-02-17,22596
1770,1770,Digital Wallet,2021-09-30,74829
1776,1776,Bank Transfer,2021-09-30,46478
1779,1779,Digital Wallet,2022-05-13,59960
